Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2015 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Curacao,CUW,157980,1.319593903,444,NA,2966429649,18780,3742606011,23690,NA,78.07560976,1.9,31.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,3058779218,0.458151544,-0.476487693,0.205942605,16.50359727,68.49411643,79.81969949,26.36974169,NA,NA,NA,NA,112.3351733,NA,65.32017703,100,NA,NA,844,130206703.9,146435754.2,NA,19361.813,-127804469.3,-0.47654205
Cyprus,CYP,1187280,0.870039642,9251,16.1,22116016423,26090,26874819794,31700,7.8,80.966,1.326,5.446,NA,97.1,2.9,NA,90,96.81906128,99.77831268,0.996190012,0.1,1727.1,85.81581493,NA,5.771090223,NA,19909269064,3.418923188,-0.754234116,1.867984518,10.19094075,70.01730313,67.25912892,13.63309263,37.93262351,6,13.52334931,1.647667627,130.9823176,12.7108239,51.82510702,100,NA,NA,4655,634530436.7,28960532080,NA,23487.21875,15284627941,-2.096997691
Czechia,CZE,10546059,0.196588748,78870,9.7,1.93692E+11,18370,3.32985E+11,31570,9.7,78.57804878,1.57,11.626,NA,NA,3.2,NA,99,97.02459717,104.8105164,1.007060051,0.1,26683.9,117.5206565,3860.002964,9.592919971,NA,1.88033E+11,5.388380838,0.99227616,2.211213873,33.7818228,80.55877811,74.61688537,27.98324807,31.30544141,8,NA,0.946582096,118.34677,17.72876868,159.1432992,100,NA,NA,5297,1376392339,1699914617,NA,17829.69832,2026234172,0.309364548
Denmark,DNK,5683483,0.70642385,42920,NA,3.43919E+11,60510,2.87305E+11,50550,9.4,80.70243902,1.71,3.561,NA,95.4,4.1,NA,91,99.5803299,133.7954712,1.018450022,0.1,6246.8,372.8419202,2816.614565,5.930324767,NA,3.02673E+11,2.342591108,0.433060802,0.957580201,19.98745459,55.4181744,48.630054,20.63120591,39.49785365,5,NA,1.111446012,124.683046,17.16507899,59.82692794,100,NA,NA,22368,2781262009,1850770715,NA,53254.85637,5406579387,0.452034154
Djibouti,DJI,1006259,1.721247739,23200,NA,2424979431,2410,4486898403,4460,NA,61.957,3.066,23.267,NA,NA,65.2,NA,74,51.71247864,39.05390167,1.005810022,NA,56,127.5995677,NA,0.443772428,NA,2424391785,7.526108919,1.807100821,1.059007526,11.39514948,145.4213075,122.9421488,-3.945924357,NA,7,NA,NA,31.23947214,NA,41.45369598,100,1227496570,1.766543926,1723,NA,143832186.4,172.3115017,2409.311902,-143832186.4,-0.847389734
Dominica,DMA,70007,0.91263243,750,NA,489397211.1,6990,757229494.5,10820,NA,68.727,1.694,41.114,NA,100,27.1,NA,96,96.68508148,93.76158905,0.986060023,NA,478.7,27.03685185,NA,2.584027312,NA,540737037,-2.731503063,6.819833773,14.05557572,12.53364749,47.32429674,60.46342783,13.30351578,NA,5,NA,NA,110.3533983,NA,45.12359674,100,317214934.8,4.487581782,-393,24805920.92,7160376.509,167.2689879,7724.042411,-18664593.25,-0.843826985
Dominican Republic,DOM,10405832,1.196044004,48670,NA,67656552686,6500,1.48517E+11,14270,5,72.953,2.43,95.116,NA,99.6,35.1,NA,90,99.69489288,79.9378891,0.98536998,1,21036.5,9.971252184,NA,2.267046018,NA,71164826837,6.927018772,2.471885977,5.484695931,28.49636818,23.7615823,28.40949542,23.44214517,17.57838899,7,NA,0.643674978,84.54150519,3.966814609,37.02531317,100,26727445940,7.672361933,-30310,585000000,2227300000,26.90414293,6838.936746,-2204900000,0.836746347
Ecuador,ECU,16195902,1.479835238,256370,23.3,97078893909,5990,1.73825E+11,10730,4.6,76.789,2.26,79.692,NA,94.2,15.3,NA,84,106.151207,104.62043,1.022459984,0.4,128191.8,9.803501281,NA,2.555603263,NA,97209558000,0.119692109,-5.475632657,8.020496297,28.09004234,22.75448573,25.07355398,22.68643583,30.84588338,12,NA,2.616074159,79.92016129,7.688544036,40.99288261,100,28392958561,5.33902298,14740,291533662.2,1322701337,19.64447572,6002.108311,-1322701337,3.966646233
"Egypt, Arab Rep.",EGY,97723799,2.205259807,1001450,27.8,3.09136E+11,3160,1.06715E+12,10920,9.1,70.483,3.436,56.931,NA,NA,23.2,NA,92,NA,NA,NA,0.1,484.2,5.408318174,NA,2.315542399,NA,3.29367E+11,4.372019078,9.93088973,11.39406107,36.63020154,13.18384549,21.66209747,14.28863701,20.98862474,9,16.7569735,1.723147428,96.20599379,0.793889602,25.78373338,100,49873938936,1.168642646,-79150,622700000,6925200000,25.83331855,3370.382447,-6743500000,10.37049034
El Salvador,SLV,6231066,0.346286118,21040,NA,21764575109,3490,46774257455,7510,6.1,71.814,2.067,70.359,NA,99.9,15.3,NA,97,92.77680969,70.69818878,NA,0.5,6063.8,62.05517607,NA,1.123018116,NA,23438240000,2.400000089,1.307617777,5.52976674,25.28892954,29.48617302,47.07409771,16.01698762,20.81504314,9,NA,1.056819966,149.7999219,4.977013925,67.419738,100,15570377313,5.852182765,-51282,74340145.28,494541718.1,14.39561015,3761.51368,-396350024,-0.731384487
Equatorial Guinea,GNQ,1346973,3.920785477,28050,NA,12677723816,9410,21360452977,15860,NA,60.103,4.774,161.13,NA,NA,93.5,NA,50,39.06110001,NA,NA,6.6,24902.2,665.9341859,NA,4.078923631,NA,13185496881,-9.110041149,-20.19275037,1.888390876,59.10058727,56.65847382,42.21958535,24.7014529,26.36465746,18,NA,1.041432076,39.5951515,NA,76.03050602,100,NA,NA,17694,NA,233325073,5.560616116,9788.983804,NA,1.676630853
Eritrea,ERI,3340006,0.497672572,121675.405,NA,NA,NA,NA,NA,NA,66.033,4.217,70.691,NA,NA,46.4,NA,97,57.43307877,43.28332138,0.855459988,0.7,10710.6,NA,NA,0.170927837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,14.22153134,NA,44.89797344,100,873287801.3,NA,-53049,NA,49323000,28.11970942,NA,NA,NA
Estonia,EST,1315407,0.06555253,45340,21.7,24427565023,18570,37534878530,28530,7.5,77.5902439,1.58,12.848,NA,99.7,3.1,NA,93,96.96095276,108.6216965,0.997789979,0.8,24210.1,14.17084,4173.326583,10.92977307,NA,22890762090,1.853020046,1.03644083,2.85804689,23.86328154,77.43549844,73.50169126,25.09424245,35.60598665,3,NA,2.026041742,144.7940413,22.70949347,119.5110931,100,NA,NA,4308,93682192.44,-715465129.9,NA,17402.03761,140346638.4,-0.492326007
Ethiopia,ETH,102471895,2.695393167,1136244.136,23.5,60070106909,590,1.68886E+11,1650,7.3,63.649,4.531,76.59,36.9,NA,63.1,NA,56,52.84944153,34.86714172,0.921459973,1.2,174335,6.268479356,NA,0.127315885,NA,64589328551,10.39246302,10.83654278,36.05697539,16.29779364,9.363313597,30.29281055,40.67127298,9.943344344,14,NA,0.705414651,41.29095943,6.194386344,30.37034204,100,20443875424,1.713626328,62784,14437634.41,2626517918,31.60759243,630.3126194,-2626517918,9.56889956
Faroe Islands,FRO,48816,0.721624003,1396,NA,2820525000,57780,2693885371,55180,NA,81.79268293,2.419,10.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,2573905971,0.976378534,4.859462801,15.66437605,16.48553445,53.21649246,52.39417913,23.96777733,NA,NA,NA,NA,109.0072927,NA,75.11145233,100,NA,NA,542,NA,NA,NA,52726.68738,NA,NA
Fiji,FJI,917200,0.178965106,18270,NA,4432045850,4830,10123784860,11040,NA,66.844,2.642,30.936,NA,99.9,21.3,NA,97,101.1449966,87.76100159,1.020750284,0.2,11066.2,55.1528845,NA,1.377889228,NA,4682479894,4.50120041,2.530898047,7.871624085,15.17127027,48.83675558,52.35229338,22.4179309,25.65663559,11,NA,0.91014731,105.3150894,2.400884476,63.55606575,100,1232759435,7.72656341,-11047,9666037.82,205373209.1,111.73136,5105.189592,-239314277.2,1.374885426
Finland,FIN,5479531,0.329383886,338446,11.6,2.58523E+11,47180,2.35158E+11,42920,9.4,81.4804878,1.65,6.282,85.5,99.7,2.5,NA,95,99.45561981,150.8192139,1.057180047,NA,224090,86.02977859,5924.700125,7.813697924,NA,2.34534E+11,0.543659212,1.616746497,2.25370769,23.3058164,35.40695887,35.97558956,21.71298815,37.37398586,3,NA,1.449960972,134.9804296,10.184202,51.2705211,100,NA,NA,12433,927659181.5,17485137456,NA,42801.90812,-18241204965,-0.20792884
France,FRA,66548272,0.35556924,549087,NA,2.73726E+12,41130,2.7772E+12,41730,7.9,82.32195122,1.96,8.273,NA,97.7,4.2,NA,91,NA,103.3960419,1.003419995,0.4,168360,86.75446874,3692.017833,4.675935087,NA,2.43919E+12,1.112912341,1.138248785,1.605644387,17.67969171,30.59262238,31.15907156,22.71232406,44.03697726,5,85.61524406,1.872258281,104.4996731,28.18460929,44.15492844,100,NA,NA,18807,12791549841,42825414106,NA,36652.92231,8404253504,0.037514381
French Polynesia,PYF,291787,0.658118801,3471,NA,NA,NA,NA,NA,NA,82.354,1.905,38.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494.6,NA,NA,NA,NA,5325846362,1.66510563,1.960063357,3.228458901,10.82484305,19.61376507,36.01670356,19.97060117,NA,NA,NA,NA,91.96228756,11.82096334,31.11242585,100,NA,NA,-1676,9522350.051,26007149.16,NA,18252.5142,-3267219.219,NA
Gabon,GAB,2028517,3.086916384,267670,NA,15530343979,7660,26774535153,13200,NA,65.46,3.889,103.618,NA,NA,50.6,NA,68,NA,NA,NA,3.7,235900,103.4012061,NA,3.014911879,NA,14383107763,3.878899395,-8.927172453,4.311629044,48.1836273,46.0320085,27.91777295,29.23095629,20.07516814,9,NA,1.185025609,139.0944715,1.081085549,116.6298708,100,5127734759,3.568950418,12041,121711150.5,41707702.33,48.69567215,7090.454634,-25253212.34,-0.338795189
"Gambia, The",GMB,2253133,2.886819384,11300,48.6,1302539892,580,4321340159,1920,7.4,62.494,5.314,78.309,NA,NA,59.5,NA,97,60.71094894,NA,NA,1.8,2713.4,13.5647304,NA,0.260037912,NA,1378176609,4.058073804,9.720362427,22.20888602,17.14345306,19.59633316,33.34117199,20.35152108,NA,7,NA,1.040522123,120.5286503,1.064935065,38.81940794,100,586005734.1,3.031693101,-3224,20477127.06,71976051.7,50.56958575,611.6712191,-74230000,6.808454946
Georgia,GEO,3725276,0.157481405,69700,21.6,16764254569,4500,44676688236,11990,6.7,73.297,2.204,49.524,NA,99.9,10.5,NA,96,107.1288223,106.2083588,1.014359951,0.2,28224,9.411893245,NA,2.523141909,NA,15223796149,3.351023503,5.377421677,8.542060322,19.7698929,40.13724933,56.87906217,26.87715931,27.15063101,2,NA,2.00294589,147.1900215,5.789104667,62.42858159,100,14874617981,14.50355701,-13317,95862423.06,1735307119,120.5091898,4086.622347,-1419607447,4.003578207
Germany,DEU,81686611,0.865702644,357410,NA,3.74002E+12,45780,3.97771E+12,48690,8,80.64146341,1.5,8.318,NA,97.1,3.9,NA,97,102.0928574,102.1924133,0.966109991,0.1,114190,135.7294933,3817.549415,9.087344804,NA,3.35759E+12,1.491931528,1.853678824,0.684691591,27.10978858,46.92073836,39.32548626,19.74294325,28.50600427,9,51.10220955,1.137338427,117.4073504,17.82123201,70.80498307,100,NA,NA,397921,14320879461,62475577278,NA,41103.25644,68388393319,0.514426137
Ghana,GHA,28870939,2.364269759,238540,NA,53904245538,1870,1.44493E+11,5000,NA,63.175,4.05,69.999,32.9,NA,55.3,NA,89,93.67414856,67.10279846,0.981519997,1.8,78804.4,34.34610268,NA,0.49602474,NA,49406010054,2.120759338,13.25296668,19.9826506,31.1193795,33.83170482,42.6895661,27.70964117,14.5298039,8,NA,0.392914355,121.2582209,7.577973961,48.14394033,100,31269213548,2.211397817,-13308,2607106387,3192320531,61.32394864,1711.271326,-2970893677,17.1499695
Gibraltar,GIB,32520,0.209321015,10,NA,NA,NA,NA,NA,NA,80.427,2.186,13.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.4323493,NA,NA,100,NA,NA,-101,NA,NA,NA,NA,NA,NA
Greece,GRC,10820883,-0.658861361,131960,21.2,2.18453E+11,20190,2.89335E+11,26740,5.8,81.03658537,1.33,8.094,NA,99.9,4.3,NA,97,98.1567688,102.2276764,0.959569991,0.2,39018.03,19.75005319,2182.071093,6.285087825,NA,1.95684E+11,-0.19608763,-0.293730433,3.864703148,14.4993252,32.12716124,33.15053123,12.07698379,46.49176652,5,21.50389491,2.463303289,116.2863558,12.90897175,38.50094137,100,NA,NA,-29315,1870201142,1268938506,NA,18083.87791,313664376.5,-1.735888048
Greenland,GRL,56114,-0.322038549,410450,NA,NA,NA,NA,NA,NA,71.47902439,2.01,39.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,2499113023,-2.529318024,8.144380572,17.03779039,17.04671163,37.57984513,45.52153588,24.02966611,NA,NA,NA,NA,109.1351487,78.47652795,42.93523303,100,NA,NA,-348,NA,NA,NA,44536.35497,NA,NA
Grenada,GRD,118980,0.850810359,340,NA,850090266.4,7140,1338456471,11250,NA,75.013,2.126,34.957,NA,99,15,NA,99,NA,101.1627884,0.971180022,NA,177,70.70974521,NA,2.291141368,NA,997007407.4,6.445223147,2.758392063,7.428526851,12.32428898,NA,NA,NA,NA,6,NA,NA,100.6614557,5.974957013,40.62156379,100,601161099.1,3.061859925,-190,47650085.51,154268835.2,202.5550545,8379.621847,-135207147.8,-0.515448031
Guam,GUM,167978,0.259298371,540,NA,NA,NA,NA,NA,NA,76.616,2.922,41.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,5799000000,0.825688073,2.522468165,NA,NA,18.07208139,53.26780479,NA,NA,NA,NA,NA,NA,NA,12.70908777,100,NA,NA,-1852,NA,NA,NA,34522.37793,NA,NA
Guatemala,GTM,15567419,1.691465093,108890,NA,57670069914,3700,1.39281E+11,8950,NA,72.103,3.029,80.387,60.6,65.5,28.4,12.4,79,85.14929962,54.91804886,0.958909988,0.3,35858,18.70763958,NA,1.057073109,NA,62186064719,4.092170816,2.23162146,9.967003032,22.73751094,19.82990769,30.06354563,14.8281551,11.66841342,9,NA,0.405967931,113.250852,5.476163577,45.53592534,100,20378217942,3.479140742,-48162,22906100,1203355080,26.41992282,3994.629085,-1048092040,2.388720328
Guinea,GIN,11625998,2.549276719,245860,NA,8703469637,750,22336836809,1920,NA,58.134,5.022,132.184,NA,NA,112.4,NA,47,62.83499908,35.65800095,0.765342057,1.6,63890,10.76300425,NA,0.216953418,NA,8794202394,3.825910569,2.972289354,18.47824054,26.32463978,21.49687039,50.94585499,24.16336504,NA,7,NA,2.517735345,92.58559996,0.959602494,45.17749105,100,2042183634,0.887083434,-15127,25699500.51,53272458.42,46.39601903,756.4255898,-48257258.42,11.7800825
Guinea-Bissau,GNB,1788919,2.582649543,36130,NA,1191004679,670,3159045810,1770,NA,59.128,4.671,102.21,NA,NA,92.1,NA,80,NA,NA,NA,3.3,20222.1,6.585052382,NA,0.157581198,NA,1152384167,6.134089355,14.51966291,35.15777855,12.92684753,25.04671196,29.32366363,14.97454143,NA,9,NA,1.479004202,69.23136263,5.806451613,43.64863858,100,394321266,0.43488163,-1393,38406676.67,18575499.45,53.15500385,644.1790639,-16230041.41,1.476720489
Guyana,GUY,755031,0.520003881,214970,NA,4197321440,5560,8706492197,11530,NA,68.201,2.534,73.404,NA,95.8,33.1,NA,99,NA,NA,NA,1.5,184613.6,2.962442164,NA,2.754761063,NA,4279840194,0.687404591,3.004309517,25.44312148,24.71873879,NA,NA,NA,NA,7,NA,1.084865471,71.86433405,0.177560753,61.75464224,100,1636917068,1.682867541,-6524,131992083.3,137700000,42.5677878,5668.429765,-137700000,-1.001734328
Haiti,HTI,10563757,1.439893507,27750,NA,15073930812,1430,31928717825,3020,NA,63.237,3.108,56.276,NA,NA,69.7,NA,69,NA,NA,NA,1.7,3628.5,10.24112366,NA,0.310537245,NA,14849629309,1.400000009,5.205963298,17.219899,26.05569094,11.76774698,30.17799113,13.97372865,NA,12,NA,0.0522037,69.10420223,NA,30.74150812,100,2096138364,0.237109482,-32698,247297661.3,105680000,99.00454785,1405.714776,-105680000,6.731840697
Honduras,HND,9294505,1.809362407,112490,51.5,18753419056,2020,41708776073,4490,3.7,72.487,2.581,77.993,NA,72,20.5,NA,98,NA,NA,NA,0.3,64638.3,13.05525307,NA,1.133809708,NA,20979791685,3.840079971,6.932770369,12.21597845,25.64997094,45.16675746,62.0976479,25.11800475,23.36315517,11,NA,1.67127565,86.59296148,1.308471331,92.47470276,100,7626993494,6.576108709,-6512,41100000,1316679827,58.16339607,2257.225284,-951580322.1,3.15783118
"Hong Kong SAR, China",HKG,7291300,0.851197911,1106,NA,3.00224E+11,41180,4.16188E+11,57080,NA,84.25268293,1.196,3.643,NA,NA,NA,NA,NA,95.35119629,107.4316864,0.998780012,NA,NA,NA,NA,NA,NA,3.09386E+11,2.387838881,3.643509283,0.067965375,7.058016579,195.8976016,193.5083476,21.54147973,NA,2,1029.418948,NA,226.0108938,12.30273536,345.6062344,100,NA,NA,13061,758670560.6,1.81047E+11,NA,42432.16197,-1.02532E+11,2.990848193
Hungary,HUN,9843028,-0.237855002,93030,14.5,1.30198E+11,13230,2.51156E+11,25520,7.8,75.56829268,1.45,23.966,NA,99.6,5,NA,99,98.64808655,104.5458221,1.00296998,NA,20608.2,31.06058734,2432.751791,4.407596931,NA,1.25174E+11,3.707315979,2.775741908,3.789563644,26.38323124,87.52645093,79.7939941,23.51230922,40.22121673,6,14.12987234,0.904722073,100.5722734,17.08323171,152.1855544,100,NA,NA,14166,676851846.1,-5266437315,NA,12717.0386,-2890619219,-0.06164468
Iceland,ISL,330815,1.041940387,103000,8.8,17462374118,52790,16247537963,49110,9.5,82.46829268,1.8,7.482,NA,98.2,2.6,NA,93,99.09667969,119.8073578,1.003890038,0.1,481.6,62.67338289,17478.89304,6.219488234,NA,17517210519,4.436663719,6.054520348,5.290914343,20.06093987,51.65172145,44.16648646,19.40362868,32.36346226,5,NA,NA,115.9665922,20.13938791,57.26368356,100,NA,NA,1477,84516225.7,1145767445,NA,52951.68151,-695187948.3,1.633055582
India,IND,1322866505,1.18779532,3287260,NA,2.0976E+12,1590,7.12099E+12,5380,8.4,69.636,2.287,22.432,NA,NA,43.6,36.3,87,99.90399933,74.94833374,1.03027153,0.3,708280,3.248785112,NA,1.631323487,NA,2.10359E+12,7.996253786,2.279588108,16.17450811,27.34739148,19.81318916,22.10972471,32.11673014,12.41520954,14,82.96153709,2.457450061,75.67324414,8.021878855,31.47393343,100,4.78831E+11,2.388564585,-475094,4882832496,44009492130,2.399599722,1590.174331,-36495216491,4.906973441
Indonesia,IDN,259091970,1.110854932,1913580,11.2,8.86547E+11,3420,2.53812E+12,9800,6.9,69.699,2.345,38.928,60,NA,27.5,NA,87,109.5289993,89.54357147,0.985639989,0.4,950279,3.989135678,NA,1.887564481,910,8.60854E+11,4.8763223,3.98024266,13.49264356,40.0478624,21.16017926,20.77746098,34.06279218,12.96669934,13,41.03725655,0.882266734,130.8216306,8.88659189,34.04304572,100,3.0785E+11,7.241901856,-37991,4605139443,19779127977,-0.109845161,3322.581679,-10704478317,6.363121131
"Iran, Islamic Rep.",IRN,81790841,2.261784926,1745150,NA,4.47833E+11,5480,1.13188E+12,13840,7.2,75.124,2.053,37.97,NA,NA,15.5,NA,99,100.0703201,88.14298248,1.005290031,0.1,106919.8,4.391747368,NA,7.325792139,NA,4.08213E+11,-1.424884939,0.197001679,10.09160141,32.17473965,18.72083451,20.70175415,31.98240852,NA,10,21.90720481,2.557090807,90.74220792,1.432633919,28.22350664,100,6455859301,0.17856251,628310,NA,2050000000,1.355897557,4990.936795,NA,12.48468156
Iraq,IRQ,37757813,2.71497647,435052,NA,2.06206E+11,5460,3.4742E+11,9200,NA,69.44,4.09,75.916,NA,NA,29.5,NA,71,NA,NA,NA,0.1,8250,4.778080018,NA,3.526944212,NA,1.66774E+11,4.722864019,-30.19965394,4.191868175,45.34028882,34.51414644,35.07762216,20.35965171,30.59581162,10,NA,5.41292532,88.87962046,NA,69.61152634,100,19135602755,1.140293291,-19490,539300000,-7574200000,39.27504862,4416.942924,7721900000,1.393330288
Ireland,IRL,4701957,0.944845307,70280,NA,2.37052E+11,50420,2.50677E+11,53310,8,81.45365854,1.85,7.924,NA,99.7,3.7,NA,93,98.70777893,116.9898682,1.008460045,0.2,7546.7,242.8946775,2819.875852,7.887609351,NA,2.92364E+11,24.47525334,8.300141348,0.8922281,38.25554322,121.8502384,93.14569536,25.90922235,25.91190463,4,43.78403315,0.341856403,105.0634623,28.33872591,68.52343125,100,NA,NA,13130,703547561,2.3706E+11,NA,62179.26427,-47433558093,-0.330959783
Isle of Man,IMN,83593,-0.3618152,570,NA,6990702742,83630,NA,NA,NA,78.905,1.711,20.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,7084800892,-0.385867274,-0.627042047,0.472320118,8.706772725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-231,NA,NA,NA,84753.51874,NA,NA
Israel,ISR,8380100,1.981288976,22070,NA,3.06303E+11,36550,2.97313E+11,35480,5,82.05121951,3.09,9.937,NA,NA,3.9,NA,98,98.78568268,96.33895111,1.008249998,NA,1650,264.7594039,2777.875324,7.913354256,NA,3.03414E+11,2.485826289,2.317748029,1.418492836,19.82274245,31.17124903,28.04105109,21.8266673,31.80306556,5,80.38635576,5.423970378,131.9966662,23.65347975,41.56956664,100,NA,NA,12049,4732700000,11336200000,NA,36206.52222,-367800000,-0.601291007
Italy,ITA,60730582,-0.096376133,302069,20.6,2.00402E+12,33000,2.22543E+12,36640,5.9,82.54390244,1.35,5.214,NA,99.9,3.5,NA,85,98.94875336,101.2275238,0.996529996,0.3,92970.8,54.08219675,2481.754645,5.563294289,NA,1.83664E+12,0.778304351,0.931863575,2.065236762,20.85638428,29.71598237,26.70219379,17.10726702,39.77273757,7,NA,1.208228253,145.5869288,8.150901386,47.2553185,100,NA,NA,34031,8860397467,13303439230,NA,30242.38614,2120880783,0.0387904
Jamaica,JAM,2794445,0.354975146,10990,NA,13597633923,4870,24401476528,8730,NA,72.394,1.588,45.715,NA,99.7,18.7,NA,91,90.40287781,87.49781036,NA,1.3,5774.6,17.09510472,NA,2.536711225,NA,14188936918,0.921487125,6.655407824,6.308335899,19.26597766,29.92166548,46.19585618,21.35192571,27.46533101,2,41.57809732,0.872353476,112.2660894,1.036084939,44.09068866,100,14075342975,29.58167643,-11329,287140244.5,924977863.7,21.13836547,5077.550969,-890764825,3.691542289
Japan,JPN,127141000,-0.106124994,377971,NA,5.00647E+12,39380,5.40445E+12,42510,NA,83.79390244,1.45,4.027,39.8,99.9,2.8,NA,96,NA,102.2004166,1.004559994,NA,249440,55.61903994,3428.557216,9.268049646,NA,4.44493E+12,1.560626697,2.111298993,1.03412007,28.58371142,17.43675984,17.99064852,25.16534788,NA,8,110.123633,0.947283519,126.1756831,18.01897198,28.64022185,100,NA,NA,150215,4000341421,5252218412,NA,34960.63938,1.33163E+11,0.795279631
Jordan,JOR,9494246,9.219917888,89320,NA,36645221073,3860,84627584195,8910,NA,75.011,3.175,30.402,NA,NA,17.5,NA,94,NA,NA,NA,0.1,975,44.44484898,NA,2.66573038,NA,38587017887,2.496528793,2.169752117,4.392268659,25.23280626,36.54443702,58.8134752,24.83503291,21.57187603,7,65.96107031,4.185162947,145.3297924,2.577043113,73.3614608,100,25598481275,5.505502898,490844,596760563.4,1600281690,225.5102774,4064.25301,-1599295775,-0.87685136
Kazakhstan,KAZ,17542806,1.461484685,2724902,NA,1.99695E+11,11380,3.80991E+11,21720,10,71.97,2.74,31.948,55.7,99.4,11.9,2,99,100.4639969,102.357933,1.020920038,NA,33084.562,8.512853403,NA,10.89105129,NA,1.84388E+11,1.200000001,1.823549876,4.710547419,30.85478739,28.51670801,24.5330208,27.9079156,13.66643674,6,18.92303372,NA,147.5074806,43.42962219,41.50152507,100,1.5347E+11,20.17552615,-12253,3181475768,6577824050,4.657179527,10510.77032,-3261447512,6.678285856
Kenya,KEN,46851488,2.20032212,580370,36.1,62095754502,1330,1.56101E+11,3330,6.2,61.892,3.8,81.426,64.1,NA,47.5,NA,96,102.0845795,NA,NA,4.9,35224.1,21.7765363,NA,0.386120074,NA,70120446897,4.967721128,9.238654684,19.46961478,18.8940457,15.1287339,25.19865079,22.1033982,19.35154294,13,NA,1.203169408,80.50105901,4.365945999,31.37316,100,19783760502,1.408885178,-95981,35050867.92,619724465,52.58232265,1496.653573,-377731883.4,6.582154293
Kiribati,KIR,116707,1.486483528,810,NA,408508831.8,3500,524579333.3,4490,NA,66.059,3.53,43.365,NA,NA,59,NA,84,NA,NA,NA,NA,11.8,NA,NA,0.520105906,NA,191572320.4,11.44067797,3.072654403,NA,NA,13.93315059,95.31930039,NA,107.6289631,7,NA,NA,35.13071195,1.38260122,66.29350196,100,NA,NA,-853,1027820.66,-819824.3529,556.521862,1641.480977,941845.9362,0.572015744
"Korea, Dem. People's Rep.",PRK,25258015,0.52351508,120540,NA,NA,NA,NA,NA,NA,72.784,1.884,2.007,NA,NA,21.1,NA,98,NA,95.95696259,NA,NA,61362.4,NA,NA,0.993803353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82761135,NA,NA,100,NA,NA,-3200,NA,78207032,5.203496501,NA,NA,NA
"Korea, Rep.",KOR,51014947,0.527288497,100295,NA,1.46514E+12,28720,1.93964E+12,38020,NA,82.02439024,1.239,2.987,79.6,100,3.5,NA,98,100.5217438,98.59319305,0.995540023,NA,63370,50.21197165,5413.347857,11.91468649,NA,1.46604E+12,2.809103268,3.185595967,2.003907793,34.14993567,42.98956153,36.14293286,29.52928082,24.81399026,4,83.98138205,2.494981365,115.5716703,31.21077647,65.70466692,100,NA,NA,266322,8719500000,4104100000,NA,28737.43917,19583000000,0.706331772
